hit_chance,period,clock_scale,p99,p99_lower,p99_upper
0.103,0.01,1.0749999999999997,36162.291756229235,31360.578437666096,39857.624587480124
0.13295,0.01,1.0999999999999999,1385.1404372190182,1248.2613169457234,1612.0489220356387
0.16193,0.01,1.1249999999999998,95.98063755947528,82.65610373950685,106.30127342365981
0.18825,0.01,1.1499999999999997,20.55217785728859,18.797169720808494,22.061028150825233
0.21391,0.01,1.1749999999999998,9.814998437331571,9.153322192410213,10.404249310122333
0.23774,0.01,1.1999999999999997,5.4125145602964855,5.139011052616212,5.814306424645015
0.26152,0.01,1.2249999999999996,3.5268451694508602,3.3929963931381657,3.729738363946075
0.28327,0.01,1.2499999999999998,2.6453393963297755,2.566866074051547,2.8853202451803437
0.30428,0.01,1.2749999999999997,2.140995428472756,1.9892828866686352,2.2173120895498983
0.32359,0.01,1.2999999999999998,1.6467606164949773,1.6142018512896241,1.7949823882106735
0.34216,0.01,1.3249999999999997,1.5279022345216906,1.4959624735560073,1.5648072445588403
0.36141,0.01,1.3499999999999996,1.349632415081585,1.3282134197264461,1.4392325048063803
0.37885,0.01,1.3749999999999998,1.2445844768378846,1.226058659537937,1.2907211722711538
0.39556,0.01,1.3999999999999997,1.0867197552164973,1.0561489219679694,1.140009041409262
0.4112,0.01,1.4249999999999998,1.0411370245559852,1.0235197884762246,1.0557014062866907
0.4268,0.01,1.4499999999999997,0.9476640615896158,0.9388565363331695,0.9814414680157576
0.44082,0.01,1.4749999999999996,0.8977742735244905,0.8586222357975241,0.9208080323090703
0.45462,0.01,1.4999999999999998,0.8409821953533688,0.8203020582089842,0.8539150551902828
0.46799,0.01,1.5249999999999997,0.8173073869484053,0.7585252403503346,0.833336599368637
0.48027,0.01,1.5499999999999996,0.750370245672497,0.7422454531502358,0.7972688851091423
0.49291,0.01,1.5749999999999997,0.7439694079889712,0.7381066336939681,0.750370245672497
0.50462,0.01,1.5999999999999996,0.6626844750737231,0.6596645738285454,0.7191834625348372
0.51613,0.01,1.6249999999999996,0.6553468403261815,0.648657266902825,0.6626844750737231
0.52714,0.01,1.6499999999999997,0.642896089373044,0.6372341917497958,0.648657266902825
0.53769,0.01,1.6749999999999996,0.6378486655011737,0.6178821997599245,0.6445774180748385
0.54746,0.01,1.6999999999999997,0.6290466375829316,0.6104911138838038,0.642896089373044
0.55793,0.01,1.7249999999999996,0.5603064201942787,0.5516991574499743,0.5651611708278133
0.56739,0.01,1.7499999999999996,0.5554900798573975,0.550613335960748,0.5637361410103847
0.57644,0.01,1.7749999999999997,0.5510709698944115,0.5464090600651736,0.556311505906349
0.58519,0.01,1.7999999999999996,0.5450805659184059,0.539432646549482,0.5510709698944115
0.5936,0.01,1.8249999999999997,0.5358027252140767,0.5178055075677065,0.5450805659184059
0.60179,0.01,1.8499999999999996,0.535305912970295,0.5083561613969577,0.539432646549482
0.60947,0.01,1.8749999999999996,0.5007404717295678,0.46745519948113723,0.535305912970295
0.61765,0.01,1.8999999999999997,0.4627269479138739,0.4588382592254069,0.46745519948113723
0.62489,0.01,1.9249999999999996,0.4627269479138739,0.46010304032278504,0.46745519948113723
0.63206,0.01,1.9499999999999995,0.4627269479138739,0.4575422838643465,0.4660668982290662
0.11859,0.015,0.7249999999999999,127717.75980902012,116831.45101009066,141384.50336748533
0.16193,0.015,0.7499999999999999,8213.507758387224,7389.8305953232775,9387.561046139594
0.20163,0.015,0.7749999999999999,405.23811367054594,358.1628376277539,470.06855946866466
0.63914,0.01,1.9749999999999996,0.4588382592254069,0.4543499805580019,0.4627269479138739
0.23774,0.015,0.7999999999999998,52.100178394861544,47.89608472835384,58.182742296427655
0.27254,0.015,0.8249999999999998,16.079230721822366,15.10657952577926,18.10456365637148
0.30428,0.015,0.8499999999999999,7.477281944323209,7.027417947163128,7.997251435279958
0.3329,0.015,0.8749999999999998,4.835879019564665,4.529808102755702,5.186921886604027
0.36141,0.015,0.8999999999999998,3.3749761591559797,3.2165265815869635,3.591628918201176
0.38734,0.015,0.9249999999999998,2.578435639800106,2.5193601260621588,2.66574650679792
0.4112,0.015,0.9499999999999998,2.1117625312640538,2.05805430366488,2.247147763129733
0.4337,0.015,0.9749999999999999,1.9246499016824017,1.8324305882112384,1.9945045294504942
0.45462,0.015,0.9999999999999998,1.5893394414800002,1.5767015612009307,1.6074532787039588
0.47432,0.015,1.025,1.4325647873567111,1.301716819218462,1.4795414599421688
0.49291,0.015,1.0499999999999998,1.2849377476591946,1.1878232020372845,1.2967873519420732
0.51035,0.015,1.0749999999999997,1.1809747185035913,1.1580303936625234,1.2196697932050813
0.52714,0.015,1.0999999999999999,1.1341186602930127,1.1232497179253502,1.1495786181177328
0.54265,0.015,1.1249999999999998,1.0198809467948058,1.0029881350945642,1.122638849579232
0.55793,0.015,1.1499999999999997,1.0029881350945642,0.9817229505467125,1.0111519204379196
0.57186,0.015,1.1749999999999998,0.9806553726404609,0.8616292469269461,0.9817229505467125
0.58519,0.015,1.1999999999999997,0.8616292469269461,0.8616292469269461,0.8682940243692814
0.59765,0.015,1.2249999999999996,0.8351860314673829,0.8332488920825317,0.8537534517850257
0.60947,0.015,1.2499999999999998,0.8332488920825317,0.8254417903882693,0.8441659593820079
0.62129,0.015,1.2749999999999997,0.8165250017912258,0.7141386128756332,0.8332488920825317
0.63206,0.015,1.2999999999999998,0.7141386128756332,0.7141386128756332,0.8165250017912258
0.64223,0.015,1.3249999999999997,0.7141386128756332,0.7141386128756332,0.7141386128756332
0.65178,0.015,1.3499999999999996,0.7141386128756332,0.7103562788163315,0.7141386128756332
0.66158,0.015,1.3749999999999998,0.7027684738758463,0.6830245390187099,0.7103562788163315
0.67057,0.015,1.3999999999999997,0.7027684738758463,0.6830245390187099,0.7027684738758463
0.67908,0.015,1.4249999999999998,0.6830245390187099,0.6830245390187099,0.7027684738758463
