clock_speed,hit_chance,period,p99,p99_lower,p99_upper
600000,0.1036310363103631,0.3800000000000001,79.16130928696431,79.16130928696431,79.16130928696431
600000,0.11267112671126711,0.3850000000000001,80.44381652994609,80.44381652994609,80.44381652994609
600000,0.12260122601226012,0.3900000000000001,81.72830209550578,81.72830209550578,81.72830209550578
600000,0.13369133691336912,0.39500000000000013,83.01472743515717,83.01472743515717,83.01472743515717
600000,0.14608146081460816,0.40000000000000013,50.577955176295596,50.577955176295596,50.577955176295596
600000,0.15988159881598815,0.40500000000000014,51.36597873698999,51.36597873698999,51.36597873698999
600000,0.17501175011750117,0.41000000000000014,52.15517336266937,52.15517336266937,52.15517336266937
600000,0.1925719257192572,0.41500000000000015,52.945516737803,52.945516737803,52.945516737803
600000,0.2111321113211132,0.42000000000000015,53.7369870926299,53.7369870926299,53.7369870926299
600000,0.23174231742317422,0.42500000000000016,54.529563187135594,54.529563187135594,54.529563187135594
600000,0.25522255222552226,0.43000000000000016,55.323224295582996,55.323224295582996,55.323224295582996
600000,0.28152281522815226,0.43500000000000016,56.117950191576696,56.117950191576696,56.117950191576696
600000,0.31050310503105033,0.44000000000000017,56.91372113363849,56.91372113363849,56.91372113363849
600000,0.34206342063420636,0.4450000000000002,57.71051785126702,57.71051785126702,57.71051785126702
600000,0.3749237492374924,0.4500000000000002,58.50832153146788,58.50832153146788,58.50832153146788
600000,0.4103641036410364,0.4550000000000002,59.30711380572858,59.30711380572858,59.30711380572858
600000,0.4467344673446734,0.4600000000000002,60.10687673742551,60.10687673742551,60.10687673742551
600000,0.48427484274842747,0.4650000000000002,60.907592809640086,60.907592809640086,60.907592809640086
600000,0.5216852168521685,0.4700000000000002,61.709244913379536,61.709244913379536,61.709244913379536
600000,0.5594555945559455,0.4750000000000002,62.511816336169936,62.511816336169936,62.511816336169936
600000,0.5961159611596116,0.4800000000000002,63.31529075102016,63.31529075102016,63.31529075102016
600000,0.6315263152631526,0.4850000000000002,64.11965220574564,64.11965220574564,64.11965220574564
600000,0.6663366633666337,0.4900000000000002,64.92488511261959,64.92488511261959,64.92488511261959
600000,0.6987869878698787,0.4950000000000002,65.73097423836502,65.73097423836502,65.73097423836502
600000,0.7301973019730197,0.5000000000000002,33.130696390630874,33.130696390630874,33.130696390630874
600000,0.7600376003760038,0.5050000000000002,33.546466084340224,33.546466084340224,33.546466084340224
600000,0.7881678816788168,0.5100000000000002,33.96269283757367,33.96269283757367,33.96269283757367
600000,0.8137481374813749,0.5150000000000002,34.37936882625548,34.37936882625548,34.37936882625548
600000,0.8377483774837748,0.5200000000000002,34.79648640007006,34.79648640007006,34.79648640007006
600000,0.8591385913859139,0.5250000000000002,35.21403807780332,16.0701206485594,35.21403807780332
600000,0.8788987889878899,0.5300000000000002,35.63201654283116,35.63201654283116,35.63201654283116
600000,0.8961789617896179,0.5350000000000003,36.05041463874543,16.523292645458685,36.05041463874543
600000,0.9118391183911839,0.5400000000000003,16.75045512314242,16.75045512314242,16.75045512314242
600000,0.9255592555925559,0.5450000000000003,11.627474383908366,11.509610893144268,16.97799314751975
600000,0.937809378093781,0.5500000000000003,11.656381963730825,11.656381963730825,11.724976908634245
600000,0.9478594785947859,0.5550000000000003,11.803327740294458,11.803327740294458,17.434170406897866
600000,0.9566395663956639,0.5600000000000003,11.9504453462095,11.9504453462095,11.9504453462095
600000,0.964509645096451,0.5650000000000003,12.09773196807341,12.09773196807341,12.09773196807341
600000,0.9712097120971209,0.5700000000000003,12.245184853876358,12.245184853876358,12.245184853876358
600000,0.9766097660976609,0.5750000000000003,12.392801311255429,12.392801311255429,12.392801311255429
600000,0.98139981399814,0.5800000000000003,12.540578705807514,12.540578705807514,12.540578705807514
600000,0.985319853198532,0.5850000000000003,12.688514458771081,12.688514458771081,12.688514458771081
600000,0.988429884298843,0.5900000000000003,12.836606045109917,8.669400010003233,12.836606045109917
600000,0.990809908099081,0.5950000000000003,12.984850997240311,8.734440289545,12.984850997240311
600000,0.992679926799268,0.6000000000000003,8.799477862716142,8.799477862716142,13.133246897054498
600000,0.993909939099391,0.6050000000000003,8.864512911309331,8.864512911309331,13.281791376913542
600000,0.995409954099541,0.6100000000000003,8.929545604814933,8.929545604814933,13.430482118318896
600000,0.996519965199652,0.6150000000000003,8.426281796927546,4.96721379486706,8.994576101245505
600000,0.997389973899739,0.6200000000000003,5.000746682454536,5.000746682454536,8.558615188326922
600000,0.998059980599806,0.6250000000000003,5.0342443633717755,5.0342443633717755,8.691520239579525
600000,0.998579985799858,0.6300000000000003,5.067708024520701,5.067708024520701,5.067708024520701
600000,0.998859988599886,0.6350000000000003,5.10113881146,5.10113881146,5.10113881146
600000,0.999219992199922,0.6400000000000003,5.134537829554433,5.134537829554433,5.134537829554433
600000,0.99939999399994,0.6450000000000004,5.167906145069714,5.167906145069714,5.167906145069714
600000,0.999589995899959,0.6500000000000004,5.201244786212823,5.201244786212823,5.201244786212823
600000,0.999719997199972,0.6550000000000004,5.2345547441179034,5.2345547441179034,5.2345547441179034
600000,0.999809998099981,0.6600000000000004,5.26783697377764,5.26783697377764,5.26783697377764
600000,0.999839998399984,0.6650000000000004,5.301092394920153,5.301092394920153,5.301092394920153
600000,0.99989999899999,0.6700000000000004,5.334322041877427,5.334322041877427,5.334322041877427
600000,0.999929999299993,0.6750000000000004,5.367527014185644,5.367527014185644,5.367527014185644
600000,0.999939999399994,0.6800000000000004,5.400708002753036,5.400708002753036,5.400708002753036
600000,0.999949999499995,0.6850000000000004,5.433865819040302,5.433865819040302,5.433865819040302
