hit_chance,period,clock_scale,p99,p99_lower,p99_upper
0.103,0.01,1.0749999999999997,34836.52266167236,22670.343572980117,56052.28894250759
0.13295,0.01,1.0999999999999999,1819.0897122171311,700.6118318322386,2667.6299897144854
0.16193,0.01,1.1249999999999998,169.661231431923,50.73119212818623,469.24589172469143
0.18825,0.01,1.1499999999999997,30.908577210711847,17.63030934477313,49.64179499966833
0.21391,0.01,1.1749999999999998,7.3596531651283446,4.7807889961726255,10.048932098746354
0.23774,0.01,1.1999999999999997,6.412461908845939,4.753427100269254,8.617023807781854
0.26152,0.01,1.2249999999999996,4.117762573322584,3.4478652292376357,6.5338742758046156
0.28327,0.01,1.2499999999999998,2.8853202451803437,1.9804252354882963,3.937603972857202
0.30428,0.01,1.2749999999999997,2.154700490637193,1.8184722653386638,3.8482252241929293
0.32359,0.01,1.2999999999999998,1.5880722619016898,1.2941659608052292,1.8154987731792263
0.34216,0.01,1.3249999999999997,1.2587915247667274,1.226058659537937,2.079346770248004
0.36141,0.01,1.3499999999999996,1.7413515197910518,1.4425037956992623,2.522858518005973
0.37885,0.01,1.3749999999999998,1.0404974384746124,0.9294480126322394,1.4425037956992623
0.39556,0.01,1.3999999999999997,1.2257654792137085,1.0404974384746124,1.5366364575269942
0.4112,0.01,1.4249999999999998,1.0235197884762246,0.970265528069511,1.4232225532424558
0.4268,0.01,1.4499999999999997,1.0235197884762246,0.8634707075579338,1.2535591034588411
0.44082,0.01,1.4749999999999996,0.9388565363331695,0.8203020582089842,1.1511068433139056
0.45462,0.01,1.4999999999999998,0.878221821702104,0.7363625748720695,1.0560241820859075
0.46799,0.01,1.5249999999999997,0.8406626261980883,0.6614661362067062,1.1376769673281626
0.48027,0.01,1.5499999999999996,0.7363625748720695,0.6372341917497958,0.8406626261980883
0.49291,0.01,1.5749999999999997,0.749883226082759,0.6596645738285454,0.953357983487107
0.50462,0.01,1.5999999999999996,0.713712208296699,0.5554900798573975,0.8173073869484053
0.51613,0.01,1.6249999999999996,0.6508119413338374,0.556311505906349,0.750370245672497
0.52714,0.01,1.6499999999999997,0.7390397425243254,0.5603064201942787,0.854082405488157
0.53769,0.01,1.6749999999999996,0.5596967649562595,0.539432646549482,0.6553468403261815
0.54746,0.01,1.6999999999999997,0.5510709698944115,0.5169550212238228,0.648657266902825
0.55793,0.01,1.7249999999999996,0.5603064201942787,0.46745519948113723,0.7612970287380549
0.56739,0.01,1.7499999999999996,0.6178821997599245,0.49022879213126536,0.7381066336939681
0.57644,0.01,1.7749999999999997,0.5358027252140767,0.4627269479138739,0.6596645738285454
0.58519,0.01,1.7999999999999996,0.5510709698944115,0.4660668982290662,0.6445774180748385
0.5936,0.01,1.8249999999999997,0.5358027252140767,0.4627269479138739,0.5651611708278133
0.60179,0.01,1.8499999999999996,0.535305912970295,0.4588382592254069,0.6503396145721365
0.61765,0.01,1.8999999999999997,0.46745519948113723,0.4543499805580019,0.5651611708278133
0.62489,0.01,1.9249999999999996,0.44966413931455174,0.37128204648170426,0.5083561613969577
0.60947,0.01,1.8749999999999996,0.5358027252140767,0.44993433156772367,0.6104911138838038
0.63206,0.01,1.9499999999999995,0.43667502747504194,0.3655215598722792,0.5450805659184059
0.11859,0.015,0.7249999999999999,152194.4937091092,86195.38858107895,166798.63681173307
0.16193,0.015,0.7499999999999999,8506.142764402442,5608.737116222308,18792.80837352352
0.20163,0.015,0.7749999999999999,687.3382765988449,345.87100632563937,1535.6820464946318
0.63914,0.01,1.9749999999999996,0.46745519948113723,0.44993433156772367,0.6178821997599245
0.23774,0.015,0.7999999999999998,51.46674571846298,31.555955463987917,405.06391225247353
0.27254,0.015,0.8249999999999998,11.966325844625796,9.886429769873997,19.15995403049626
0.30428,0.015,0.8499999999999999,7.918370076134353,5.836494104193633,14.752451641844436
0.3329,0.015,0.8749999999999998,5.149454764886068,3.5156477895152913,6.645828004519867
0.36141,0.015,0.8999999999999998,5.10161069232787,4.178537418987132,6.4632914925360065
0.38734,0.015,0.9249999999999998,2.5792247451148063,2.0763412057702526,3.713257154987085
0.4112,0.015,0.9499999999999998,2.7651805703301737,2.0862498465507664,3.7879792723541272
0.4337,0.015,0.9749999999999999,1.9875480760121769,1.4448085296376854,3.1551255498760664
0.45462,0.015,0.9999999999999998,1.4809623576318673,1.1878773643806895,1.9710837726915962
0.47432,0.015,1.025,1.4325647873567111,1.1580303936625234,2.1187806794018655
0.49291,0.015,1.0499999999999998,1.555633738466913,1.2960413913909883,2.0763412057702526
0.51035,0.015,1.0749999999999997,1.2849377476591946,1.0111519204379196,1.555633738466913
0.54265,0.015,1.1249999999999998,1.0111519204379196,0.9806553726404609,1.6048924561059421
0.52714,0.015,1.0999999999999999,1.1864877751469556,1.0029881350945642,1.5940703776674474
0.55793,0.015,1.1499999999999997,0.8777379141888768,0.8441659593820079,1.1559898451804238
0.57186,0.015,1.1749999999999998,0.8616292469269461,0.8537534517850257,1.2967873519420732
0.58519,0.015,1.1999999999999997,1.0029881350945642,0.8537534517850257,1.2107168825529038
0.59765,0.015,1.2249999999999996,0.9806553726404609,0.8332488920825317,1.1580303936625234
0.60947,0.015,1.2499999999999998,0.8616292469269461,0.7141386128756332,0.9817229505467125
0.62129,0.015,1.2749999999999997,0.8332488920825317,0.7141386128756332,0.8616292469269461
0.63206,0.015,1.2999999999999998,0.8537534517850257,0.7027684738758463,1.0029881350945642
0.64223,0.015,1.3249999999999997,0.7141386128756332,0.6698468580158808,1.1238676167389543
0.65178,0.015,1.3499999999999996,0.7103562788163315,0.5679497131951733,0.8537534517850257
0.66158,0.015,1.3749999999999998,0.7141386128756332,0.7027684738758463,0.8616292469269461
0.67057,0.015,1.3999999999999997,0.6698468580158808,0.5679497131951733,0.8441659593820079
0.67908,0.015,1.4249999999999998,0.6830245390187099,0.5679497131951733,0.7141386128756332
0.68754,0.015,1.4499999999999997,0.5679497131951733,0.5514021458464712,0.6698468580158808
0.69555,0.015,1.4749999999999996,0.5679497131951733,0.5625887415351193,0.8254417903882693
0.70339,0.015,1.4999999999999998,0.6830245390187099,0.5679497131951733,0.7141386128756332
0.71086,0.015,1.5249999999999997,0.5863888040035444,0.5679497131951733,0.8332488920825317
0.71755,0.015,1.5499999999999996,0.6185153068693721,0.5625887415351193,0.8232742821670691
0.72384,0.015,1.5749999999999997,0.7027684738758463,0.5324188358346919,0.7103562788163315
0.73035,0.015,1.5999999999999996,0.5625887415351193,0.5324188358346919,0.5679497131951733
0.73602,0.015,1.6249999999999996,0.5679497131951733,0.5625887415351193,0.7141386128756332
0.74227,0.015,1.6499999999999997,0.5625887415351193,0.4213794633945175,0.5679497131951733
0.74824,0.015,1.6749999999999996,0.5514021458464712,0.5324188358346919,0.7103562788163315
0.75333,0.015,1.6999999999999997,0.5625887415351193,0.4213794633945175,0.5679497131951733
0.75881,0.015,1.7249999999999996,0.5324188358346919,0.4213794633945175,0.5679497131951733
0.76383,0.015,1.7499999999999996,0.5324188358346919,0.4213794633945175,0.5679497131951733
0.76862,0.015,1.7749999999999997,0.5514021458464712,0.4213794633945175,0.5679497131951733
0.77771,0.015,1.8249999999999997,0.5514021458464712,0.4213794633945175,0.5679497131951733
0.77326,0.015,1.7999999999999996,0.5324188358346919,0.4213794633945175,0.7103562788163315
0.78244,0.015,1.8499999999999996,0.5324188358346919,0.4213794633945175,0.5679497131951733
