clock_scale,hit_chance,period,p99,p99_lower,p99_upper
0.30000000000000004,0.23774,0.04,26782.853210980724,24909.281299334707,29308.177560425585
0.4,0.23774,0.03,15869.782892871237,14233.122775173271,17556.2749522547
0.4,0.50462,0.04,20.08188271718269,18.466456251549022,22.17776601650029
0.5,0.28327,0.025,597.0424348562327,548.7610918093737,719.4194587691852
0.5,0.45462,0.03,10.898210764657852,10.339783768439585,11.728473997979512
0.5,0.64555,0.04,3.9892437777447753,3.442607250015454,4.425797109472576
0.6000000000000001,0.23774,0.02,822.339205133185,718.3096209911602,940.5846782246025
0.6000000000000001,0.45462,0.025,6.093853119973561,5.833549029664936,6.443122649061674
0.6000000000000001,0.58519,0.03,2.7289124852624242,2.614038428705514,2.81075156898925
0.6000000000000001,0.73035,0.04,1.9308506402533954,1.9308506402533954,1.9308506402533954
0.7000000000000001,0.39556,0.02,5.683733796140119,5.273205417025065,6.060146707331145
0.7000000000000001,0.56739,0.025,2.340431479776946,2.142021422347055,2.4362098592437755
0.7000000000000001,0.67057,0.03,1.571126696378537,1.5673509484913368,1.7432878498289566
0.7000000000000001,0.78546,0.04,1.5710644067638018,1.5710644067638018,1.5710644067638018
0.8,0.23774,0.015,54.161301880516795,48.54844780296783,60.488348934746476
0.8,0.50462,0.02,2.1437024576223807,2.0887068505260515,2.2018746319587743
0.8,0.64555,0.025,1.4429346217850767,1.4429346217850767,1.642410577299296
0.8,0.73035,0.03,1.4570478603318349,1.4557900498546121,1.4570478603318349
0.8,0.82464,0.04,1.505091398154213,1.18593014077792,1.505091398154213
0.9,0.36141,0.015,3.5271650828297236,3.2819801595307356,3.7760617931631857
0.9,0.58519,0.02,1.3561738783472492,1.3561738783472492,1.4403021700698675
0.9,0.70339,0.025,1.2114690603661757,1.1895624913285165,1.2114690603661757
0.9,0.77326,0.03,1.157024692281125,1.157024692281125,1.157024692281125
0.9,0.85269,0.04,1.18593014077792,1.18593014077792,1.18593014077792
1.0,0.45462,0.015,1.5893394414800002,1.5767015612009307,1.606125081386585
1.0,0.64555,0.02,1.0577762912107618,1.0042797068223623,1.0794338345897128
1.0,0.74641,0.025,0.9706027230519029,0.9706027230519029,0.9803724909524203
1.0,0.80649,0.03,0.8745974012036775,0.8745974012036775,0.8745974012036775
1.0,0.87412,0.04,1.18593014077792,1.18593014077792,1.18593014077792
1.1,0.13295,0.01,1325.660885498631,1136.8054663736991,1536.2547858706073
1.1,0.52714,0.015,1.1341186602930127,1.0750041264423906,1.1341186602930127
1.1,0.69324,0.02,0.9617080622051136,0.9381975833921935,0.9617080622051136
1.1,0.77915,0.025,0.9706027230519029,0.9706027230519029,0.9706027230519029
1.1,0.83273,0.03,0.8745974012036775,0.8745974012036775,0.8745974012036775
1.1,0.89052,0.04,1.18593014077792,1.18593014077792,1.18593014077792
1.2000000000000002,0.23774,0.01,5.284482599294278,4.933251489614321,5.634373581724704
1.2000000000000002,0.58519,0.015,0.8616292469269461,0.8614868177480857,0.8616292469269461
1.2000000000000002,0.73035,0.02,0.7666198883389296,0.7666198883389296,0.7666198883389296
1.2000000000000002,0.80649,0.025,0.7225333071946097,0.7225333071946097,0.7225333071946097
1.2000000000000002,0.85269,0.03,0.8745974012036775,0.8745974012036775,0.8745974012036775
1.2000000000000002,0.90408,0.04,1.18593014077792,0.7801809553383883,1.18593014077792
1.3,0.32359,0.01,1.8154987731792263,1.7369001685268248,1.8923762773234571
1.3,0.63206,0.015,0.7141386128756332,0.7141386128756332,0.7869532129362251
1.3,0.76053,0.02,0.7666198883389296,0.7581141339891373,0.7666198883389296
1.3,0.82891,0.025,0.7225333071946097,0.7225333071946097,0.7225333071946097
1.3,0.86918,0.03,0.8745974012036775,0.8745974012036775,0.8745974012036775
1.3,0.91491,0.04,0.7801809553383883,0.7801809553383883,0.7801809553383883
1.4000000000000001,0.39556,0.01,1.0581884604033964,1.0418692147059507,1.1253803456012843
1.4000000000000001,0.67057,0.015,0.7027684738758463,0.6830245390187099,0.7103562788163315
1.4000000000000001,0.78546,0.02,0.6458999133362688,0.5718317004713038,0.7357306649600655
1.4000000000000001,0.84629,0.025,0.7225333071946097,0.7225333071946097,0.7225333071946097
1.4000000000000001,0.88286,0.03,0.8745974012036775,0.8745974012036775,0.8745974012036775
1.4000000000000001,0.9241,0.04,0.7801809553383883,0.7801809553383883,0.7801809553383883
1.5,0.45462,0.01,0.8409821953533688,0.8368764261848259,0.854082405488157
1.5,0.70339,0.015,0.5679497131951733,0.5679497131951733,0.5732775414796888
