clock_speed,hit_chance,period,p99,p99_lower,p99_upper
500000,0.2816028160281603,0.735,1.6936528738243848,1.6936528738243848,1.6936528738243848
500000,0.8241182411824118,0.74,1.67325285590335,1.67325285590335,1.67325285590335
500000,0.997219972199722,0.745,1.0521417207947699,1.0521417207947699,1.0521417207947699
1000000,0.8241182411824118,0.37,1.6896090884705455,1.5589382231128166,1.7689848788456668
1500000,0.2816028160281603,0.245,2.693941135132392,2.693941135132392,2.693941135132392
2000000,0.8241182411824118,0.185,0.624650524261242,0.5893129289215104,0.6283511769230885
