clock_scale,hit_chance,period,p99,p99_lower,p99_upper
0.30000000000000004,0.23774,0.04,0.36067326579817893,0.35969588969199223,0.3615732495059343
0.3500000000000001,0.39556,0.04,0.3413310262140875,0.341174473398005,0.34160237919272113
0.40000000000000013,0.23774,0.03,0.34448108302224245,0.3441302510689383,0.34494760732213
0.40000000000000013,0.50462,0.04,0.335802728827111,0.33559287562805795,0.33603119162055867
0.4500000000000001,0.36141,0.03,0.33410093694286225,0.3338446876512124,0.3343990044608914
0.4500000000000001,0.58519,0.04,0.333023228725757,0.33287419018172154,0.33315811398424816
0.5000000000000001,0.45462,0.03,0.3300228891684339,0.32983223305450887,0.33026593320286707
0.5000000000000001,0.64555,0.04,0.33138169844223,0.33125557402406064,0.3315738788734429
0.5500000000000002,0.13295,0.02,0.35619557099999594,0.3551760320023961,0.3570200947040043
0.5500000000000002,0.52714,0.03,0.3277814045550968,0.3276436052110436,0.327996578576688
0.5500000000000002,0.69324,0.04,0.3304545032615071,0.3302975108854771,0.3305970290729996
0.6000000000000002,0.23774,0.02,0.3387834043051706,0.33842464260758104,0.3391119175133265
0.6000000000000002,0.58519,0.03,0.326595527546254,0.3264892296767567,0.32668617883282736
0.6000000000000002,0.73035,0.04,0.3295245566683631,0.32943810593320183,0.32962027980999387
0.6500000000000001,0.32359,0.02,0.33362200266428005,0.3334528944799671,0.33379297018154225
0.6500000000000001,0.63206,0.03,0.32567244809627766,0.3255753453182017,0.32579882519224
0.6500000000000001,0.76053,0.04,0.3291225131432945,0.3290558106091992,0.32920636082007537
0.7000000000000002,0.39556,0.02,0.33120545222679276,0.3310564803012587,0.33138456829695917
0.7000000000000002,0.67057,0.03,0.32512701910438685,0.32503598212413126,0.3252091056812475
0.7000000000000002,0.78546,0.04,0.32873874745523474,0.32851772112723865,0.3288653547049143
0.7500000000000002,0.16193,0.015,0.33747400769876207,0.3371885148463333,0.3379045707884024
0.7500000000000002,0.45462,0.02,0.3298892875262697,0.3297562721312601,0.330009254620561
0.7500000000000002,0.70339,0.03,0.32455376574276923,0.3244672866042452,0.3246929802521629
0.7500000000000002,0.80649,0.04,0.3283003292543229,0.32819755584041915,0.32849251065757773
0.8000000000000003,0.23774,0.015,0.33071438413788,0.33050780575140754,0.3309313911241939
0.8000000000000003,0.50462,0.02,0.3289055219854424,0.32881457933885955,0.3289793008541979
0.8000000000000003,0.73035,0.03,0.32429769434311456,0.324238012697787,0.3243531988191143
0.8000000000000003,0.82464,0.04,0.3280102242187865,0.32796450013618533,0.3280933869412566
0.8500000000000003,0.30428,0.015,0.3277124294756935,0.32756704297625955,0.32790522238358283
0.8500000000000003,0.54746,0.02,0.32839478036549546,0.32829962820434566,0.3285224514458827
0.8500000000000003,0.75333,0.03,0.3241107683452259,0.32406130241946113,0.324164954910218
