clock_scale,hit_chance,period,p99,p99_lower,p99_upper
8.0,0.14608146081460816,0.03,121585.27074871349,115562.89759684,129185.21464639732
8.0,0.8907189071890719,0.04,1.18593014077792,1.18593014077792,1.18593014077792
8.0,0.999869998699987,0.05,0.507746108472463,0.507746108472463,0.507746108472463
8.0,1.0,0.06,0.6389773823408101,0.6389773823408101,0.6389773823408101
8.5,0.13791137911379114,0.028,145847.9166957102,137070.0563109836,156105.43499262404
8.5,0.23174231742317422,0.03,19883.488507297247,18320.415921960863,21781.085595887238
8.5,0.966839668396684,0.04,0.7801809553383883,0.7801809553383883,0.7801809553383883
8.5,1.0,0.05,0.507746108472463,0.507746108472463,0.507746108472463
8.5,1.0,0.06,0.6389773823408101,0.6389773823408101,0.6389773823408101
9.0,0.2111321113211132,0.028,33246.186044009686,30415.19384474972,37445.101828770945
9.0,0.3749237492374924,0.03,63.32890110946022,57.17830343804866,70.50295832454898
9.0,0.992679926799268,0.04,0.4018982110174514,0.4018982110174514,0.4018982110174514
9.0,1.0,0.05,0.507746108472463,0.507746108472463,0.507746108472463
9.0,1.0,0.06,0.6389773823408101,0.6389773823408101,0.6389773823408101
9.5,0.13585135851358512,0.025,149154.4374477326,140359.13826091288,161185.373691182
9.5,0.3309833098330983,0.028,178.26986239300334,159.87208363401544,201.3009877258204
9.5,0.5594555945559455,0.03,3.5850662092027386,3.3847888511118858,3.641309525037429
9.5,0.998769987699877,0.04,0.4018982110174514,0.4018982110174514,0.4018982110174514
9.5,1.0,0.05,0.507746108472463,0.507746108472463,0.507746108472463
9.5,1.0,0.06,0.6389773823408101,0.6389773823408101,0.6389773823408101
10.0,0.1987519875198752,0.025,30808.200046219932,27898.366771786612,34053.08559213783
10.0,0.4967349673496735,0.028,5.316156548895785,4.904549785812684,5.692625425026044
10.0,0.7301973019730197,0.03,1.4570478603318349,1.4557900498546121,1.4570478603318349
10.0,0.999869998699987,0.04,0.4018982110174514,0.4018982110174514,0.4018982110174514
10.0,1.0,0.05,0.507746108472463,0.507746108472463,0.507746108472463
10.0,1.0,0.06,0.6389773823408101,0.6389773823408101,0.6389773823408101
10.5,0.11267112671126711,0.022,230476.7210377956,220382.05200606328,243679.75640228039
10.5,0.2948929489294893,0.025,328.47371786124035,300.1805693539795,380.4712211398811
10.5,0.6663366633666337,0.028,1.6260996223221111,1.3529424245077535,1.6260996223221111
10.5,0.8591385913859139,0.03,0.8745974012036775,0.8745974012036775,0.8745974012036775
10.5,1.0,0.04,0.4018982110174514,0.4018982110174514,0.4018982110174514
10.5,1.0,0.05,0.507746108472463,0.507746108472463,0.507746108472463
10.5,1.0,0.06,0.6389773823408101,0.6389773823408101,0.6389773823408101
11.0,0.15523155231552316,0.022,86809.44207481672,81144.46631336023,94542.58767678848
11.0,0.43441434414344143,0.025,7.69183405172847,7.2411393890052915,8.423649875611229
11.0,0.8056980569805698,0.028,0.816013296953566,0.816013296953566,0.816013296953566
11.0,0.93779937799378,0.03,0.5827895487598691,0.5827895487598691,0.5827895487598691
11.0,1.0,0.04,0.4018982110174514,0.4018982110174514,0.4018982110174514
11.0,1.0,0.05,0.507746108472463,0.507746108472463,0.507746108472463
